sich die Haare bürsten,     brush something 
sich die Haare kämmen,      comb something  
sich etwas anziehen,        put something on    
sich etwas ausziehen,       take something off  
sich etwas putzen,          clean something 
sich wehtun,                hurt yourself   
sich etwas überlegen,       think about something   
sich etwas vorstellen,      imangine something  
sich etwas wünschen,        wish for something 
sich etwas leisten,         afford somethine    
sich Zeit nehmen,           take time for oneself   
sich Zeit lassen,           take one’s time 
